SbjNum,Latitude,Longitude,Q_6,Q_119_LA,Q_119_LO,CountyNew,COUNTYv1
55791422,-0.490964533,34.31403141,HOMABAY,-0.490964533,34.31403141,HOMABAY,
55785055,-0.490242833,34.31443698,HOMABAY,-0.490242833,34.31443698,HOMABAY,
55785056,-0.489361764,34.31486143,HOMABAY,-0.489361764,34.31486143,HOMABAY,
56007577,-0.445378109,34.88225928,HOMABAY,-0.445378109,34.88225928,HOMABAY,
56007578,-0.443596369,34.88290511,HOMABAY,-0.443596369,34.88290511,HOMABAY,
56007576,-0.445016683,34.8846639,HOMABAY,-0.445016683,34.8846639,HOMABAY,
56017202,-0.439265946,34.88549306,HOMABAY,-0.439265946,34.88549306,HOMABAY,
56017203, , ,HOMABAY,-0.43814654,34.88567098,HOMABAY,
56007575,-0.445642126,34.88571031,HOMABAY,-0.445642126,34.8857103,HOMABAY,
56017206,-0.437176491,34.88575524,HOMABAY,-0.437176491,34.88575524,HOMABAY,
56017204,-0.437858275,34.88594227,HOMABAY,-0.437858275,34.88594227,HOMABAY,
56007581,-0.442208903,34.88607686,HOMABAY,-0.442223712,34.88603583,HOMABAY,
56017200,-0.440975849,34.88605025,HOMABAY,-0.440975849,34.88605024,HOMABAY,
56007580,-0.441790541,34.88629269,HOMABAY,-0.441775057,34.8863831,HOMABAY,
56017205,-0.438022899,34.88670429,HOMABAY,-0.438022899,34.88670429,HOMABAY,
56017201, , ,HOMABAY,-0.440540363,34.88675848,HOMABAY,
56007582,-0.442414629,34.88698795,HOMABAY,-0.442414629,34.88698795,HOMABAY,
56007574,-0.446165451,34.88727631,HOMABAY,-0.446165451,34.88727631,HOMABAY,
56007573,-0.446620838,34.8875109,HOMABAY,-0.446620838,34.8875109,HOMABAY,
56007610,-0.447028104,34.88908906,HOMABAY,-0.447028104,34.88908906,HOMABAY,
56007583,-0.44757628,34.88998247,HOMABAY,-0.44757628,34.88998247,HOMABAY,
56007579,-0.44217181,34.88067312,HOMABAY,-0.447610987,34.89000079,HOMABAY,
56007608,-0.447384581,34.89035006,HOMABAY,-0.447384581,34.89035005,HOMABAY,
55798215,-1.860973333,36.148965,KAJIADO,-1.859998333,36.14907,KAJIADO,
55798217,-1.859998333,36.14907,KAJIADO,-1.85999,36.14907,KAJIADO,
55798216,-1.860938333,36.14897167,KAJIADO,-1.860951667,36.14897167,KAJIADO,
55786747,-1.860016387,36.14904455,KAJIADO,-1.860009417,36.14907942,KAJIADO,
55798214,-1.860003333,36.14909,KAJIADO,-1.860003333,36.14909,KAJIADO,
55786956,-1.859978242,36.14909843,KAJIADO,-1.859978242,36.14909843,KAJIADO,
55786958,-1.860033332,36.14911389,KAJIADO,-1.860033332,36.14911389,KAJIADO,
55786808, , ,KAJIADO,-1.860040671,36.14918755,KAJIADO,
55793642,-1.858919709,36.1491945,KAJIADO,-1.858919709,36.1491945,KAJIADO,
55786955,-1.859842746,36.14921385,KAJIADO,-1.859842746,36.14921385,KAJIADO,
55786810, , ,KAJIADO,-1.859878799,36.14929471,KAJIADO,
55793641,-1.859043421,36.14930289,KAJIADO,-1.859043421,36.14930288,KAJIADO,
55786807, , ,KAJIADO,-1.859815831,36.14933032,KAJIADO,
55786745,-1.859805315,36.14942866,KAJIADO,-1.859805315,36.14942866,KAJIADO,
55786809, , ,KAJIADO,-1.859887264,36.14966539,KAJIADO,
55798218,-1.859488333,36.14968667,KAJIADO,-1.859488333,36.14968667,KAJIADO,
